Name,Address,PostalCode,PhoneNumber,InstitutionsCategory,InstitutionsType
VS Graz-Puntigam,Gradnerstraße 24,8055,+43(0)3168726890,Pflichtschulen,Volksschule
Praxis VS der Kirchl. Päd. Hochschule der Diözese,Georgigasse 85-89,8020,+43(0)31658167054,Pflichtschulen,Volksschule
Schule im Pfeifferhof (SiP) - Knallerbse des Vereines Mit Kindern leben,Pfeifferhofweg 153,8045,+43(0)316354988,Pflichtschulen,Volksschule
VS Graz-Gabelsberger,Gabelsbergerstraße 1,8020,+43(0)3168726930,Pflichtschulen,Volksschule
HS Graz-Fröbel,Am Fröbelpark 1-3,8020,+43(0)3168727075,Pflichtschulen,Neue Mittelschule
Regenbogenschule - Förderung alternativer Lernmethoden in Graz,Schöckelbachweg 35,8046,,Pflichtschulen,Volksschule
HS Graz-Ferdinandeum,Färbergasse 11,8010,+43(0)3168726915,Pflichtschulen,Neue Mittelschule
HS Graz-Engelsdorf,Liebenauer Hauptstraße 173,8041,+43(0)3168726785,Pflichtschulen,Neue Mittelschule
VS Graz-Murfeld,Wilhelm-Rösche-Gasse 5,8041,+43(0)3168726830,Pflichtschulen,Volksschule
VS Graz-Berliner Ring,Rudolfstraße 242,8047,+43(0)3168726870,Pflichtschulen,Volksschule
HS Graz-Albert Schweitzer,Grieskai 62,8020,+43(0)3168726755,Pflichtschulen,Neue Mittelschule
VS Graz-Brockmann,Brockmanngasse 119,8010,+43(0)3168726720,Pflichtschulen,Volksschule
VS Graz-St. Peter,Thomas-Arbeiter-Gasse 12,8042,+43(0)3168727080,Pflichtschulen,Volksschule
VS Graz-Hirten,Am Fröbelpark 1-3,8020,+43(0)3168727070,Pflichtschulen,Volksschule
Karl-Schubert-Schule,Riesstraße 351,8010,+43(0)316302434,Pflichtschulen,Sonderschule für Kinder mit sonderpäd. Förderbedarf
Private VS Ingrid Holzer,Raachgasse 66,8051,,Pflichtschulen,Volksschule
HS Graz-St. Leonhard,Elisabethstraße 56,8010,+43(0)3168726715,Pflichtschulen,Neue Mittelschule
HS Graz-Andritz,Andritzer Reichsstraße 35c,8045,+43(0)3168726865,Pflichtschulen,Neue Mittelschule
Private VS der Ursulinen,Leonhardstraße 62,8010,+43(0)31632330021,Pflichtschulen,Volksschule
VS Graz-Nibelungen,Nibelungengasse 18,8010,+43(0)3168727035,Pflichtschulen,Volksschule
VS Graz-Triester,Reiherstadlgasse 48,8020,+43(0)3168726850,Pflichtschulen,Volksschule
VS Graz-Schönau,Neuholdaugasse 93,8010,+43(0)3168726840,Pflichtschulen,Volksschule
ASO Graz-Pestalozzi,Reiherstadlgasse 48,8020,+43(0)3168726855,Pflichtschulen,Sonderschule für Kinder mit sonderpäd. Förderbedarf
VS Graz-Gösting,Anton-Kleinoscheg-Straße 44,8051,+43(0)3168726940,Pflichtschulen,Volksschule
VS Graz-Afritsch,Marschallgasse 19-21,8020,+43(0)3168727050,Pflichtschulen,Volksschule
Private VS der Schulschwestern Eggenberg,Georgigasse 84,8020,+43(0)316583341119,Pflichtschulen,Volksschule
VS u. HS Graz-Ellen Key,Dürergasse 2,8010,+43(0)3168726718,Pflichtschulen,Sonderschule für Kinder mit sonderpäd. Förderbedarf
