XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT2;KAT3;HERKUNFT;PHI;LAMBDA
1717522,37650000;5953238,29480000;47;BG/BRG Graz, Dreihackengasse;Dreihackengasse 11;8020;Graz;+43(0)316/712246;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,068356;15,428766
1721783,23130000;5956041,42390000;48;Gesundheits- u. Krankenpflegeschule;Auenbruggerplatz 24;8036;Graz;+43(0)316/385-2431;Höhere & Berufsbildende Schulen;Humanberufliche Schule;Stadt Graz - Stadtvermessung;47,085503;15,467042
1716556,86190000;5947855,60350000;49;Psychiatr. Gesundheits- u. Krankenpflegeschule;Wagner-Jauregg-Platz 23;8053;Graz;+43(0)316/2191-2470;Höhere & Berufsbildende Schulen;Fachschule;Stadt Graz - Stadtvermessung;47,035408;15,420093
1720820,83950000;5953748,16470000;50;BAfL Graz;Engelgasse 56;8010;Graz;+43(0)316/327980;Höhere & Berufsbildende Schulen;Fachschule;Stadt Graz - Stadtvermessung;47,071472;15,458397
1713260,15720000;5950207,36930000;51;Schule für Sozialbetr./Altenarbeit d. Diakoniewerkes;Krottendorfer Straße 81;8052;Graz;+43(0)316/281371;Höhere & Berufsbildende Schulen;Fachschule;Stadt Graz - Stadtvermessung;47,049805;15,390478
1718332,73670000;5955757,11850000;52;HLA f.w.B., Sozialmanagement;Grabenstraße 41;8010;Graz;+43(0)316/8015-430;Höhere & Berufsbildende Schulen;Humanberufliche Schule;Stadt Graz - Stadtvermessung;47,083763;15,436046
1720119,06610000;5951235,74760000;53;BHAK/BHAS Monsberger;Monsbergergasse 16;8010;Graz;+43(0)316/463868;Höhere & Berufsbildende Schulen;Kaufmännische Schule;Stadt Graz - Stadtvermessung;47,056099;15,452092
1719128,27600000;5953521,40770000;54;Akademisches Gymnasium;Bürgergasse 15;8010;Graz;+43(0)316/814246;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,070087;15,443192
1721447,51340000;5954773,46120000;55;LA f. Sehbehinderte Odilien;Leonhardstraße 130;8010;Graz;+43(0)316/322667-26;Höhere & Berufsbildende Schulen;Höhere technische - gewerbliche Lehranstalt;Stadt Graz - Stadtvermessung;47,077747;15,464026
1715232,24960000;5949497,03690000;56;BG/BRG Graz, Klusemannstraße;Klusemannstraße 25;8053;Graz;+43(0)316/273848;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,045456;15,408194
1721459,15290000;5954782,12620000;57;Hauswirtschaftliche Schule - Odilien;Leonhardstraße 130;8010;Graz;+43(0)316/322667-26;Höhere & Berufsbildende Schulen;Fachschule;Stadt Graz - Stadtvermessung;47,077801;15,464130
