Graz insgesamt,249.089,2.836,3.024,3.289,3.390,3.194,3.189,3.311,3.301,3.263,3.033,2.871,2.828,2.678,2.663,2.631,2.673,2.667,2.685,2.840,3.044,3.531,3.981,4.411,4.484,4.654,3.330,4.327,4.668,4.398,4.765,4.644,4.851,3.429,2.555,2.388,2.331,2.401,2.368,2.529,2.662,2.824,2.803,2.892,2.995,3.032,3.171,3.342,3.466,3.662,3.686,3.626,3.342,2.361,1.917,2.123,2.278,3.262,3.352,3.544,3.360,3.403,3.417,3.240,3.099,2.919,3.039,3.013,2.796,2.829,2.698,2.438,2.383,2.343,2.050,1.972,1.700,1.676,1.624,1.331,1.271,1.058,995,916,825,621,506,429,344,272,218,147,117,69,56,48,72
60101 061 (GRAZ )<60101 061>,828,7,11,9,4,15,6,9,9,6,9,8,6,7,10,2,9,3,7,8,5,11,7,9,13,17,17,23,14,12,12,12,15,4,5,7,7,15,9,8,10,14,12,10,10,9,10,10,10,21,17,13,10,2,3,6,7,19,8,10,18,15,11,14,13,14,9,12,15,10,9,8,14,6,6,14,2,2,13,13,5,6,3,6,2,4,1,-,1,2,2,-,-,-,-,-,-
60101 070 (GRAZ )<60101 070>,476,3,7,2,3,5,10,2,5,5,5,4,6,7,6,8,3,1,2,7,4,3,14,13,4,9,11,11,5,13,5,11,9,5,1,2,6,3,4,5,3,3,6,5,4,4,2,6,9,6,9,5,5,6,1,2,5,7,11,10,8,10,4,9,6,7,6,2,8,8,6,9,6,2,7,3,4,3,7,2,7,-,3,3,2,1,-,2,-,-,2,-,-,1,-,-,-
60101 071 (GRAZ )<60101 071>,1.252,7,8,13,10,8,6,7,6,7,9,5,7,2,3,3,6,6,6,19,37,68,87,100,79,74,36,28,37,23,23,20,22,13,16,8,11,7,6,15,8,16,6,14,8,14,11,12,11,13,12,12,10,12,8,7,7,15,10,11,12,15,8,6,12,10,8,7,5,6,10,8,7,8,10,5,11,10,3,4,3,2,4,7,2,1,2,1,-,-,-,-,-,-,-,-,-
60101 072 (GRAZ )<60101 072>,1.136,19,15,18,20,11,12,9,14,5,9,15,8,10,10,4,7,14,12,8,9,12,20,24,19,21,14,25,28,34,29,18,29,12,14,9,12,5,10,13,10,12,12,13,11,17,16,18,19,16,11,11,17,16,6,12,10,14,12,9,17,13,11,14,12,11,16,17,8,9,14,16,17,20,8,7,9,8,10,9,9,9,4,6,3,1,6,1,3,2,2,1,1,1,-,1,1
60101 073 (GRAZ )<60101 073>,484,5,8,5,6,6,5,8,3,8,9,4,5,5,9,8,4,7,7,1,4,10,9,7,12,13,7,5,9,11,11,11,6,9,10,4,5,6,-,4,4,2,7,9,13,2,2,7,5,6,7,7,4,5,2,7,4,4,4,4,4,3,7,5,7,7,5,5,5,6,5,2,5,8,9,4,3,2,3,6,1,1,1,3,2,1,-,2,-,-,1,-,-,-,-,-,-
60101 074 (GRAZ )<60101 074>,712,8,8,7,12,11,13,6,9,7,5,8,2,5,12,9,7,9,11,6,8,10,16,20,24,16,10,19,17,14,14,14,18,6,7,6,6,2,3,4,8,7,12,8,11,11,12,6,9,10,10,10,7,5,1,4,4,10,11,7,8,7,7,7,12,8,7,7,12,3,7,6,9,5,9,5,5,7,6,3,3,3,3,2,1,1,2,1,2,-,-,-,1,-,-,-,1
60101 075 (GRAZ )<60101 075>,466,2,2,4,4,3,6,8,7,6,1,5,1,3,3,2,2,3,2,6,7,8,16,10,21,13,10,9,8,13,9,5,6,6,4,2,4,3,3,2,2,3,2,3,8,6,1,2,4,7,4,5,5,5,4,6,5,4,6,10,10,10,7,13,5,9,5,5,7,7,5,4,10,6,3,3,6,6,2,2,6,-,4,3,2,1,-,2,1,-,1,-,-,-,-,-,-
60101 080 (GRAZ )<60101 080>,840,8,11,6,4,11,10,6,4,6,6,6,6,7,10,4,4,8,10,9,10,4,14,10,13,14,6,9,14,17,14,9,8,11,3,6,13,5,8,4,10,4,5,3,7,10,6,12,5,11,17,11,14,6,7,3,8,11,8,14,8,12,12,4,12,7,11,11,11,13,7,8,13,11,12,13,9,19,22,15,9,12,8,12,16,15,9,6,7,8,4,-,-,2,1,1,-
60101 090 (GRAZ )<60101 090>,982,7,14,10,7,6,9,8,15,4,11,11,7,7,4,6,10,12,9,10,9,14,17,13,12,15,18,19,10,19,27,12,17,16,12,8,6,12,7,12,10,13,5,7,7,5,13,17,15,14,17,14,16,8,7,5,10,13,14,19,22,23,16,13,16,17,15,18,17,9,9,14,11,15,6,14,11,9,6,9,8,2,4,6,9,3,2,2,2,-,1,-,1,-,-,1,-
60101 091 (GRAZ )<60101 091>,1.006,9,7,6,9,9,13,6,10,8,7,10,6,5,5,10,8,6,12,11,12,21,18,23,22,23,18,23,20,10,21,16,12,10,13,11,6,5,10,2,6,8,6,13,13,15,30,13,12,17,12,17,12,11,10,6,8,9,16,22,16,13,13,18,15,12,18,15,13,14,10,7,9,10,9,11,10,10,4,10,7,6,7,11,8,3,7,2,2,2,2,1,1,-,-,1,-
60101 092 (GRAZ )<60101 092>,1.425,12,13,15,20,15,14,17,6,15,15,15,9,14,16,9,18,18,19,13,13,30,12,25,27,33,18,28,22,27,22,18,23,14,15,12,15,14,15,13,16,14,17,14,15,22,15,15,19,18,14,19,17,15,12,17,12,27,18,23,25,23,21,32,21,31,22,21,20,26,17,12,15,12,8,6,9,9,11,6,8,6,10,6,10,8,4,3,2,1,3,3,3,2,1,-,-
60101 093 (GRAZ )<60101 093>,673,9,13,8,12,8,11,11,4,5,2,4,4,4,4,8,8,11,10,4,4,13,9,13,8,9,9,19,21,17,15,15,15,11,7,4,7,7,4,7,9,8,8,5,7,2,5,7,9,8,12,12,8,5,4,4,10,8,11,12,15,4,8,7,9,6,8,6,3,14,7,6,10,8,4,10,5,9,6,5,3,2,1,1,-,1,1,3,1,1,-,-,1,-,-,-,-
60101 094 (GRAZ )<60101 094>,521,5,6,8,2,6,5,2,8,5,4,6,6,4,4,7,4,4,8,5,8,5,12,8,7,8,6,12,12,11,12,12,11,11,9,3,1,4,4,4,4,6,3,3,7,2,2,5,3,8,6,8,12,5,4,2,5,14,9,8,14,9,5,4,3,10,6,9,7,8,7,10,3,8,5,5,3,8,6,2,1,4,2,3,1,2,1,-,-,-,-,-,-,-,-,-,-
60101 100 (GRAZ )<60101 100>,814,11,9,10,15,7,9,2,3,8,3,6,3,12,6,11,3,5,7,5,4,11,9,18,20,16,11,21,21,22,33,21,23,5,7,3,5,8,3,7,9,12,11,12,4,7,9,11,16,10,15,14,11,10,4,8,7,23,22,13,15,14,15,10,11,5,8,16,8,9,8,12,5,9,2,4,5,6,1,5,5,-,2,4,-,1,1,-,1,-,1,-,-,-,-,-,-
60101 101 (GRAZ )<60101 101>,1.254,8,12,11,13,19,18,19,22,24,24,13,25,16,18,21,19,20,23,16,20,14,19,13,20,17,17,19,14,8,18,23,26,19,10,6,10,12,8,13,8,16,14,14,17,28,20,32,27,26,39,35,22,21,13,23,10,19,26,21,19,11,13,20,14,15,7,9,5,9,10,2,7,4,3,4,1,4,8,2,1,2,2,1,1,-,-,1,1,-,-,-,-,-,-,-,-
60101 102 (GRAZ )<60101 102>,686,6,5,7,9,6,8,17,9,6,7,4,8,7,7,6,7,3,4,5,13,14,19,21,17,18,13,9,16,16,17,16,16,10,5,10,3,6,3,10,6,6,5,12,12,5,5,5,10,5,8,12,5,7,6,10,4,5,3,11,10,8,9,9,11,5,10,6,8,3,3,7,6,3,4,6,6,6,7,4,3,1,2,3,3,6,3,3,1,3,-,1,1,-,-,-,-
60101 103 (GRAZ )<60101 103>,1.165,10,8,13,18,15,12,14,21,17,18,11,10,9,17,16,13,15,8,14,10,6,8,10,19,21,17,21,21,27,23,22,27,15,10,9,13,12,12,15,11,19,17,19,23,24,30,26,17,24,26,19,21,5,12,11,18,15,23,16,16,15,11,9,9,10,9,11,9,8,11,8,11,9,6,12,9,7,5,2,8,4,3,3,2,3,2,-,-,-,-,-,-,-,-,-,-
60101 110 (GRAZ )<60101 110>,691,9,4,8,16,12,7,9,7,10,2,10,4,7,7,6,6,4,5,7,5,5,11,12,12,14,11,13,11,10,12,17,5,9,8,3,5,3,6,8,9,11,9,10,8,8,10,11,13,15,7,8,11,5,6,8,3,9,4,9,9,11,9,14,8,9,10,9,9,5,12,6,9,9,6,6,3,12,10,7,4,3,3,4,1,2,-,3,2,1,-,-,-,-,-,-,1
