ElectionID,RegionID,ParentID,RegionName,DistrictName
NR2017,G20722,G20700,St. Jakob im Rosental,
NR2017,G20723,G20700,Stockenboi,
NR2017,G20724,G20700,Treffen am Ossiacher See,
NR2017,G20725,G20700,Velden am Wörther See,
NR2017,G20726,G20700,Weißenstein,
NR2017,G20727,G20700,Wernberg,
NR2017,G20799,G20700,Wahlkarten - Villach Land,
NR2017,G20800,G2D000,Völkermarkt,
NR2017,G20801,G20800,Bleiburg,
NR2017,G20802,G20800,Diex,
NR2017,G20803,G20800,Eberndorf,
NR2017,G20804,G20800,Eisenkappel-Vellach,
NR2017,G20805,G20800,Feistritz ob Bleiburg,
NR2017,G20806,G20800,Gallizien,
NR2017,G20807,G20800,Globasnitz,
NR2017,G20808,G20800,Griffen,
NR2017,G20810,G20800,Neuhaus,
NR2017,G20812,G20800,Ruden,
NR2017,G20813,G20800,St. Kanzian am Klopeiner See,
NR2017,G20815,G20800,Sittersdorf,
NR2017,G20817,G20800,Völkermarkt,
NR2017,G20899,G20800,Wahlkarten - Völkermarkt,
NR2017,G20900,G2D000,Wolfsberg,
NR2017,G20901,G20900,Bad St. Leonhard im Lavanttal,
NR2017,G20905,G20900,Frantschach-St. Gertraud,
NR2017,G20909,G20900,Lavamünd,
NR2017,G20911,G20900,Preitenegg,
NR2017,G20912,G20900,Reichenfels,
NR2017,G20913,G20900,St. Andrä,
NR2017,G20914,G20900,St. Georgen im Lavanttal,
NR2017,G20918,G20900,St. Paul im Lavanttal,
NR2017,G20923,G20900,Wolfsberg,
NR2017,G20999,G20900,Wahlkarten - Wolfsberg,
NR2017,G21000,G2C000,Feldkirchen,
NR2017,G21001,G21000,Albeck,
NR2017,G21002,G21000,Feldkirchen in Kärnten,
NR2017,G21003,G21000,Glanegg,
NR2017,G21004,G21000,Gnesau,
NR2017,G21005,G21000,Himmelberg,
NR2017,G21006,G21000,Ossiach,
NR2017,G21007,G21000,Reichenau,
NR2017,G21008,G21000,St. Urban,
NR2017,G21009,G21000,Steindorf am Ossiacher See,
NR2017,G21010,G21000,Steuerberg,
