TKey,Author,Title,Year,Type,School,Country,Pages,ISBN
T3685,A1604545,Duality theory for optimal mechanism design,2015,PhD,University of Oxford,United Kingdom,,
T3692,A31945,Knowledge-based reward shaping with knowledge revision in reinforcement learning,2014,PhD,University of York,United Kingdom,,
T3739,A298879,Building and evaluating privacy-preserving data processing systems,2018,PhD,University College London,United Kingdom,,
T3742,A2045985,Shapelet transforms for univariate and multivariate time series classification,2018,PhD,University of East Anglia,United Kingdom,,
T3749,A1665122,Ensemble diversity for class imbalance learning,2011,PhD,University of Birmingham,United Kingdom,,
T3752,A1412489,Explicit web search result diversification,2013,PhD,University of Glasgow,United Kingdom,,
T3806,A676190,SUM: an exploration of Shared User Models and interface adaptations to improve accessibility of mobile touchscreen interactions,2013,PhD,University of Dundee,United Kingdom,,
T3821,A1216508,Intelligent agents for mobile location services,2014,PhD,University of Southampton,United Kingdom,,
T3824,A2171960,Context based querying of dynamic and heterogeneous information sources,2011,PhD,University of Oxford,United Kingdom,,
T3830,A987449,Solver tuning with genetic algorithms,2015,PhD,University of Dundee,United Kingdom,,
T3848,A281583,Mining sequential patterns from probabilistic data,2012,PhD,University of Leicester,United Kingdom,,
T3857,A2079474,Supporting unsupervised context identification using social and physical sensors,2015,PhD,University of Bristol,United Kingdom,,
T3868,A21055,Novel symbolic and machine-learning approaches for text-based and multimodal sentiment analysis,2017,PhD,University of Stirling,United Kingdom,,
T3881,A1482695,Reducing human effort in web data extraction,2017,PhD,University of Oxford,United Kingdom,,
T3890,A663201,Quality-aware overload management for stream processing,2012,PhD,Imperial College London,United Kingdom,,
T3900,A1847752,Transfer of optical frequency combs over optical fibre links,2013,PhD,University of Southampton,United Kingdom,,
T3923,A2296948,Compact routing for the future internet,2012,PhD,University of Glasgow,United Kingdom,,
T3949,A1722617,Interpreting document collections with topic models,2014,PhD,University of Sheffield,United Kingdom,,
T3956,A1730102,Content-awareness and graph-based ranking for tag recommendation in folksonomies,2013,PhD,University of Warwick,United Kingdom,,
T3997,A2041690,Supervised extractive summarisation of news events,2018,PhD,University of Glasgow,United Kingdom,,
