AKey,Name,Aliases,Affiliation,Country,Website
A27079,Timothy R. Tangherlini,,,,
A27084,Qiushi Bai,,,,
A27095,Karen Jacqmin-Adams,,,,
A27180,Carlos Manuel Toledo,,,,
A27186,Thomas Lumley,,,,
A27233,Javid Ebrahimi,,,,
A27237,Zhian He,,,,
A27280,Kunho Kim,,,,
A27318,Killian Levacher,,,,
A27329,Hiroshi Nishiura,,,,
A27360,Robin Rehrmann,,,,
A27387,Adam Seering,,,,
A27395,Andrew Sillers,,,,
A27411,Felix Schmidt,,,,
A27431,Abhijnan Chakraborty,,,,
A27473,Erik Borra,,,,
A27602,Jee-Eun Jang,,,,
A27608,Kapil Surlaker,,,,
A27626,Alexander Shleyfman,,,,
A27707,Charlie Fang,,,,
A27761,Shengyu Huang,,,,
A27778,Brendan Harris,,,,
A28107,Maede Ashouri-Talouki,,,,
A28123,Fabian Flöck,,GESIS,Germany,http://www.gesis.org/das-institut/mitarbeiterverzeichnis/?alpha=F&name=Fabian%2CFloeck
A28211,Valeria De Luca,,,,
A28220,Emmanuel Risler,,,,
A28409,Tim Salimans,,,,
A28422,Pedro Pedreira,Pedro Eugenio Rocha:Pedro Eugenio Rocha Pedreira,,,
A28439,Carlos E. Seminario,,,,
A28491,Pei Lee,,,,
A28521,Madhuwanti Vaidya,,,,
A28635,Manohar Paluri,,,,
A28659,The Anh Dang,Dang The Anh,,,
A28854,Constantinos Costa,,,,
A28949,Maysum Panju,,,,
A28965,Abhik Ray,,,,
A29019,Ilie Gabriel Tanase,Gabriel Tanase:Gabriel Ilie Tanase,Thomas J. Watson Research Center,USA,http://researcher.watson.ibm.com/researcher/view.php?person=us-igtanase
A29028,Nikita Shamgunov,,,,
A29115,Wush Chi-Hsuan Wu,Wush Wu,,,
A29139,Shuguang Hu,,,,
A29191,Yinglong Zhang,,,,
A29290,A. S. M. Kayes,,,,https://orcid.org/0000-0002-2421-2214
A29299,Kishore Gopalakrishna,,,,
A29301,Kevin Krawez,,,,
A29373,Xiaojun Chang,,,,https://orcid.org/0000-0002-7778-8807
A29507,Christoph Gröger,,University of Stuttgart,Germany,http://www.ipvs.uni-stuttgart.de/abteilungen/as/abteilung/mitarbeiter/Christoph.Groeger
A29550,Travis Martin,,,,
A29555,Benjamin Bertin,,INSA Lyon,France,
A29579,Rushi P. Bhatt,,,,
A29605,Yoshinobu Takahashi,,,,
A29633,Steffen Hirte,,,,
A29703,Muting Wan,,,,
A29862,Fangjian Guo,,,,
A29916,Elnaz Nouri,,,,
A29918,Yael Grossman,,,,
A30043,Thejas Nair,,,,
A30100,Roberto Pagano,,,,
A30282,Assaad Moawad,,,,
A30284,Diego Caro,,,,
A30342,Carbo Kuo,,,,
A30379,Nihit Desai,,,,
A30491,Amelie Chi Zhou,,,,
A30597,Petrie Wong,,,,
A30643,Payam Siyari,,,,
A30650,David Tamez Cantu,,,,
A30731,Xiaochi Wei,,,,
A31028,Alexander Baumgartner,,,,
A31030,Steve Folkman,,,,
A31072,Gregory Brandt,,,,
A31089,Jayadevan Vijayan,,,,
A31115,Mostafa Mokhtar,,,,
A31159,Ilia Lotosh,,,,
A31162,Nicholas Monath,,,,
A31183,Venkatesh Basker,,,,
A31203,Vamsi Ponnekanti,,,,
A31241,Peng Shu,,,,
A31258,Marvin Lapeine,,,,
A31345,Stefan Zwicklbauer,,,,
A31354,Vladimir Pavlov,,,,
A31380,Wenqing Hu,,,,
A31392,Ge Luo,,,,https://orcid.org/0000-0002-2823-4488
A31401,Ruizhe Huang,,,,
A31414,Moritz Sudhof,,,,
A31418,Megan Kercher,,,,
A31423,Minhao Jiang,,,,
A31452,Ariel Weisberg,,,,
A31475,Chris Beaver,,,,
A31513,Adwait Tumbde,,,,
A31514,Bibo Hao,,,,
A31559,Elmer Garduño,,,,
A31573,Jim Gramling,,,,
A31582,Rucha Kanade,,,,
A31604,Dirk Reinel,,Hochschule Hof,Germany,https://www.iisys.de/profile/dirk-reinel.html
A31614,Seung-Keol Kim,,,,
A31642,Shixuan Sun,,,,
A31679,Jingen Xiang,,,,
A31755,Ashudeep Singh,,,,
A31760,Miro Flasza,,,,http://www.linkedin.com/in/mirof
A31787,Mauricio C. Moraes,,,,
A31818,Nicholas Jing Yuan,,,,
A31846,Paul Yaron,,,,
A31918,Hyoseok Ryu,,,,
A31921,Matthew Prockup,,,,
A31945,Kyriakos Efthymiadis,,,,
A32054,Darko Makreshanski,,,,
A32076,Chunyao Song,,,,
A32111,Liangxing Shi,,,,
A32203,Christopher R. Botaish,,,,
A32291,Prasanta Bhattacharya,,,,
A32329,Kunal Lillaney,,,,
A32378,Sibo Wang 0001,,The Chinese University of Hong Kong,Hong Kong,http://www1.se.cuhk.edu.hk/~swang/
A32386,Pengyuan Li 0001,,University of Delaware,USA,https://www.eecis.udel.edu/~pengyuan/
