#Year, Host_Country, Match_ID, Type, Date, Location, Team 1, Team 2, Score 1, Score 2
1958,Sweden,45,Group 3,15 June,Jernvallen; Sandviken,Hungary,Mexico,4,0
1958,Sweden,46,Group 3,17 June,Råsunda Stadium; Solna,Wales,Hungary,2,1
1958,Sweden,47,Group 4,8 June,Rimnersvallen; Uddevalla,Brazil,Austria,3,0
1958,Sweden,48,Group 4,8 June,Ullevi; Gothenburg,Soviet Union,England,2,2
1958,Sweden,49,Group 4,11 June,Ullevi; Gothenburg,Brazil,England,0,0
1958,Sweden,50,Group 4,11 June,Ryavallen; Borås,Soviet Union,Austria,2,0
1958,Sweden,51,Group 4,15 June,Ryavallen; Borås,England,Austria,2,2
1958,Sweden,52,Group 4,15 June,Ullevi; Gothenburg,Brazil,Soviet Union,2,0
1958,Sweden,53,Group 4,17 June,Ullevi; Gothenburg,Soviet Union,England,1,0
1958,Sweden,54,Quarter-finals,19 June,Idrottsparken; Norrköping,France,Northern Ireland,4,0
1958,Sweden,55,Quarter-finals,19 June,Råsunda Stadium; Solna,Sweden,Soviet Union,2,0
1958,Sweden,56,Quarter-finals,19 June,Ullevi; Gothenburg,Brazil,Wales,1,0
1958,Sweden,57,Quarter-finals,19 June,Malmö Stadion; Malmö,West Germany,Yugoslavia,1,0
1958,Sweden,58,Semi-finals,24 June,Råsunda Stadium; Solna,France,Brazil,2,5
1958,Sweden,59,Semi-finals,24 June,Ullevi; Gothenburg,West Germany,Sweden,1,3
1958,Sweden,60,Match for third place,28 June,Ullevi; Gothenburg,West Germany,France,3,6
1958,Sweden,61,Final,29 June,Råsunda Stadium; Solna,Sweden,Brazil,2,5
1962,Chile,62,Group 1,30 May,Estadio Carlos Dittborn; Arica,Uruguay,Colombia,2,1
1962,Chile,63,Group 1,31 May,Estadio Carlos Dittborn; Arica,Soviet Union,Yugoslavia,2,0
1962,Chile,64,Group 1,2 June,Estadio Carlos Dittborn; Arica,Yugoslavia,Uruguay,3,1
1962,Chile,65,Group 1,3 June,Estadio Carlos Dittborn; Arica,Soviet Union,Colombia,4,4
1962,Chile,66,Group 1,6 June,Estadio Carlos Dittborn; Arica,Soviet Union,Uruguay,2,1
1962,Chile,67,Group 1,7 June,Estadio Carlos Dittborn; Arica,Yugoslavia,Colombia,5,0
1962,Chile,68,Group 2,30 May,Estadio Nacional; Santiago,Chile,Switzerland,3,1
1962,Chile,69,Group 2,31 May,Estadio Nacional; Santiago,West Germany,Italy,0,0
1962,Chile,70,Group 2,2 June,Estadio Nacional; Santiago,Chile,Italy,2,0
1962,Chile,71,Group 2,3 June,Estadio Nacional; Santiago,West Germany,Switzerland,2,1
1962,Chile,72,Group 2,6 June,Estadio Nacional; Santiago,West Germany,Chile,2,0
1962,Chile,73,Group 2,7 June,Estadio Nacional; Santiago,Italy,Switzerland,3,0
1962,Chile,74,Group 3,30 May,Estadio Sausalito; Viña del Mar,Brazil,Mexico,2,0
1962,Chile,75,Group 3,31 May,Estadio Sausalito; Viña del Mar,Czechoslovakia,Spain,1,0
1962,Chile,76,Group 3,2 June,Estadio Sausalito; Viña del Mar,Brazil,Czechoslovakia,0,0
1962,Chile,77,Group 3,3 June,Estadio Sausalito; Viña del Mar,Spain,Mexico,1,0
